depth,idx,solved,sol_len,seconds,sim_pdb,scramble,solution
5,0,True,5,0.740,1.0000,L' D' L2 B' L2,L2 B L2 D L
5,1,True,5,0.871,1.0000,D' B' L2 D B,B' D' L2 B D
5,2,True,5,0.675,1.0000,D' B2 D' B' L',L B D B2 D
5,3,True,5,0.884,1.0000,B D B D' L',L D B' D' B'
5,4,True,5,0.755,1.0000,D' L B' D2 B',B D2 B L' D
5,5,True,5,0.795,1.0000,D' L D' B' D,D' B D L' D
5,6,True,5,0.813,1.0000,B' D2 B L' B2,B2 L B' D2 B
5,7,True,5,0.795,1.0000,L2 D' L2 B' L,L' B L2 D L2
5,8,True,5,0.797,1.0000,D B2 D' B2 L',L B2 D B2 D'
5,9,True,5,0.840,1.0000,L D' B2 D' B,B' D B2 D L'
5,10,True,5,0.921,1.0000,B D2 B D2 B2,B2 D2 B' D2 B'
5,11,True,5,0.886,1.0000,D2 L2 D B' D,D' B D' L2 D2
5,12,True,5,0.839,1.0000,B' L2 D B2 D2,D2 B2 D' L2 B
5,13,True,5,0.974,1.0000,B L' B L D,D' L' B' L B'
5,14,True,5,0.763,1.0000,B2 L' D2 B' D2,D2 B D2 L B2
5,15,True,5,0.969,1.0000,L B2 D B2 D,D' B2 D' B2 L'
5,16,True,5,0.848,1.0000,L2 D' B D L',L D' B' D L2
5,17,True,5,0.947,1.0000,D B2 D2 B L2,L2 B' D2 B2 D'
5,18,True,5,0.767,1.0000,L2 D' B2 D2 B',B D2 B2 D L2
5,19,True,5,1.008,1.0000,D L B2 L D,D' L' B2 L' D'
5,20,True,5,0.976,1.0000,D L D' B D,D' B' D L' D'
5,21,True,5,0.846,1.0000,L' D L2 B2 L2,L2 B2 L2 D' L
5,22,True,5,0.880,1.0000,L D2 L2 B D',D B' L2 D2 L'
5,23,True,5,0.845,1.0000,B D' B2 L2 B2,B2 L2 B2 D B'
5,24,True,5,0.884,1.0000,B2 D B D2 L',L D2 B' D' B2
5,25,True,5,0.840,1.0000,L2 B D' B2 D2,D2 B2 D B' L2
5,26,True,5,0.844,1.0000,D L2 B D' L',L D B' L2 D'
5,27,True,5,0.885,1.0000,D2 B L' D2 L,L' D2 L B' D2
5,28,True,5,0.835,1.0000,B' D L' B L2,L2 B' L D' B
5,29,True,5,0.767,1.0000,B' D2 B D' B',B D B' D2 B
5,30,True,5,0.920,1.0000,B L2 D B L',L B' D' L2 B'
5,31,True,5,0.880,1.0000,B L B' D2 B2,B2 D2 B L' B'
5,32,True,5,0.832,1.0000,B2 L2 B2 D B',B D' B2 L2 B2
5,33,True,5,0.791,1.0000,L D' B' D L',L D' B D L'
5,34,True,5,0.765,1.0000,L' D' L2 D2 L2,L2 D2 L2 D L
5,35,True,5,0.800,1.0000,L D B' D' L',L D B D' L'
5,36,True,5,0.891,1.0000,B L2 D2 B2 L2,L2 B2 D2 L2 B'
5,37,True,5,0.851,1.0000,B D2 L' D2 B2,B2 D2 L D2 B'
5,38,True,5,0.815,1.0000,B L' B' L2 D2,D2 L2 B L B'
5,39,True,5,0.841,1.0000,L D2 B L' D',D L B' D2 L'
5,40,True,5,0.919,1.0000,D B L D2 B',B D2 L' B' D'
5,41,True,5,0.713,1.0000,D2 B2 D' B' D',D B D B2 D2
5,42,True,5,0.840,1.0000,D2 B2 L2 D' B,B' D L2 B2 D2
5,43,True,5,0.878,1.0000,L' D L' D B,B' D' L D' L
5,44,True,5,0.966,1.0000,D B D L2 B2,B2 L2 D' B' D'
5,45,True,5,0.715,1.0000,L' B L' B' L',L B L B' L
5,46,True,5,0.826,1.0000,L2 B' D L' D,D' L D' B L2
5,47,True,5,0.761,1.0000,D2 B' L' B D',D B' L B D2
5,48,True,5,0.919,1.0000,B L2 D2 L D2,D2 L' D2 L2 B'
5,49,True,5,0.754,1.0000,D2 B' D2 L' D2,D2 L D2 B D2
10,0,True,10,1.660,1.0000,L B2 D B2 D2 L' D L' D2 B,B' D2 L D' L D2 B2 D' B2 L'
10,1,True,10,1.594,1.0000,L D' L B' D' L2 D' L B2 L2,L2 B2 L' D L2 D B L' D L'
10,2,True,10,1.413,1.0000,L' B2 L' D2 L2 B' D2 B' L' B2,B2 L B D2 B L2 D2 L B2 L
10,3,True,10,1.637,1.0000,D B' L2 B2 D' B2 L' B2 D L2,L2 D' B2 L B2 D B2 L2 B D'
10,4,True,10,1.628,1.0000,D2 L D' L' B D2 B' D B2 L,L' B2 D' B D2 B' L D L' D2
10,5,True,10,1.648,1.0000,D B D' L B2 L' B2 D' B2 D,D' B2 D B2 L B2 L' D B' D'
10,6,True,10,1.678,1.0000,B' D B2 L B' D2 L D2 L2 D2,D2 L2 D2 L' D2 B L' B2 D' B
10,7,True,10,1.785,1.0000,D B' D2 L D2 B2 L D L D',D L' D' L' B2 D2 L' D2 B D'
10,8,True,10,1.579,1.0000,D B' L2 B L B' D' B2 D2 B2,B2 D2 B2 D B L' B' L2 B D'
10,9,True,10,1.598,1.0000,D2 B' L2 D2 B2 L' B D' B' L,L' B D B' L B2 D2 L2 B D2
10,10,True,10,1.410,1.0000,B2 D2 L2 B' D L' B' L2 B' L',L B L2 B L D' B L2 D2 B2
10,11,True,10,1.365,1.0000,L' D2 B2 L' D' L B' L' D2 B',B D2 L B L' D L B2 D2 L
10,12,True,10,1.644,1.0000,D L B2 D2 B2 L2 B L' B' D,D' B L B' L2 B2 D2 B2 L' D'
10,13,True,10,1.513,1.0000,D' B L' D2 L' D' L' B' L D,D' L' B L D L D2 L B' D
10,14,True,10,1.473,1.0000,L' B' L B2 L D2 B D' B' D',D B D B' D2 L' B2 L' B L
10,15,True,10,1.562,1.0000,B L B2 D' B' D B2 L' D' B,B' D L B2 D' B D B2 L' B'
10,16,True,10,1.697,1.0000,D2 L2 D' B D2 B2 L' D L D,D' L' D' L B2 D2 B' D L2 D2
10,17,True,10,1.561,1.0000,D L' B' D2 L' D B2 L' D B,B' D' L B2 D' L D2 B L D'
10,18,True,10,1.635,1.0000,D L' B L2 B L B' L2 B' L',L B L2 B L' B' L2 B' L D'
10,19,True,10,1.573,1.0000,D2 L' B L B2 L' B2 D2 L' D',D L D2 B2 L B2 L' B' L D2
10,20,True,10,1.490,1.0000,B2 D' B' D2 L2 B2 L' D B' L',L B D' L B2 L2 D2 B D B2
10,21,True,10,1.476,1.0000,B' D L2 B' L2 D' B2 D' B' L,L' B D B2 D L2 B L2 D' B
10,22,True,10,1.479,1.0000,B L' B' L B2 L2 D2 B' D' L',L D B D2 L2 B2 L' B L B'
10,23,True,10,1.597,1.0000,D' B2 D2 B' D' B L' B D B,B' D' B' L B' D B D2 B2 D
10,24,True,10,1.669,1.0000,L2 D2 B2 D' B L2 D2 L D2 B,B' D2 L' D2 L2 B' D B2 D2 L2
10,25,True,10,1.637,1.0000,D L2 D' L' B2 D L2 D2 L2 B,B' L2 D2 L2 D' B2 L D L2 D'
10,26,True,10,1.688,1.0000,B D L2 D2 L2 D L B' D2 B',B D2 B L' D' L2 D2 L2 D' B'
10,27,True,10,1.669,1.0000,B D' B D B D2 B' D' L2 D2,D2 L2 D B D2 B' D' B' D B'
10,28,True,10,1.692,1.0000,D B' D2 L B2 D2 B L' D L2,L2 D' L B' D2 B2 L' D2 B D'
10,29,True,10,1.550,1.0000,L2 D2 L2 B D2 L2 D2 B' D' B2,B2 D B D2 L2 D2 B' L2 D2 L2
10,30,True,10,1.428,1.0000,D B' L' D2 L' B' L B' L2 B',B L2 B L' B L D2 L B D'
10,31,True,10,1.258,1.0000,D' L2 B' D' L' B' L' D2 B' L',L B D2 L B L D B L2 D
10,32,True,10,1.457,1.0000,L D2 L2 D' B' L' D2 B2 D2 B',B D2 B2 D2 L B D L2 D2 L'
10,33,True,10,1.724,1.0000,D L B2 D L B2 L D2 B' L',L B D2 L' B2 L' D' B2 L' D'
10,34,True,10,1.633,1.0000,D2 B' L' D2 L D' L2 B D L2,L2 D' B' L2 D L' D2 L B D2
10,35,True,10,1.712,1.0000,L' D L B L D' B2 D L D2,D2 L' D' B2 D L' B' L' D' L
10,36,True,10,1.775,1.0000,L' D B2 D L B D2 L B L2,L2 B' L' D2 B' L' D' B2 D' L
10,37,True,10,1.700,1.0000,B' L B D L' D B' D L2 D2,D2 L2 D' B D' L D' B' L' B
10,38,True,10,1.697,1.0000,L B2 D2 L' B2 L2 B' D B L,L' B' D' B L2 B2 L D2 B2 L'
10,39,True,10,1.526,1.0000,B' L' B2 D L2 B2 D B D' L',L D B' D' B2 L2 D' B2 L B
10,40,True,10,1.548,1.0000,B' D L' B' D2 B2 L2 D B2 D2,D2 B2 D' L2 B2 D2 B L D' B
10,41,True,10,1.662,1.0000,B' L B D2 L2 D2 B L D2 L',L D2 L' B' D2 L2 D2 B' L' B
10,42,True,10,1.547,1.0000,L2 D L D' L2 D' L2 B2 D' L',L D B2 L2 D L2 D L' D' L2
10,43,True,10,1.593,1.0000,B D B2 D' B2 L' D' L2 B2 D,D' B2 L2 D L B2 D B2 D' B'
10,44,True,10,1.609,1.0000,B' D2 L2 D2 B D2 B D2 L D',D L' D2 B' D2 B' D2 L2 D2 B
10,45,True,10,1.533,1.0000,L D2 L2 B L' D' B' L' D B2,B2 D' L B D L B' L2 D2 L'
10,46,True,10,1.497,1.0000,L B L2 D2 B' D2 L2 D' B' D',D B D L2 D2 B D2 L2 B' L'
10,47,True,10,1.462,1.0000,D' B' D L D L D B L2 B',B L2 B' D' L' D' L' D' B D
10,48,True,10,1.634,1.0000,B2 L' B L D' B2 D2 L' D B,B' D' L D2 B2 D L' B' L B2
10,49,True,10,1.502,1.0000,D' B2 L' B' L' B2 D2 B D B2,B2 D' B' D2 B2 L B L B2 D
16,0,False,10,21.455,0.6716,D L D B2 D L2 D2 B L' D2 B2 D B' L B L',L D' B2 L2 D2 L2 B' L' D L2
16,1,False,13,30.546,0.7171,D' B L' B2 L2 D2 B' L D2 B2 L2 B D' L' B' L2,L2 B L D B' L2 B2 D2 L' B D2 L2 B2
16,2,False,15,35.035,0.9057,B L' D2 L2 B2 L B' L' D' B L2 D B2 L' B' L,L' B L B2 D' L2 B' D L B L' B2 L2 D2 L
16,3,False,13,26.461,0.7446,D2 L2 D' L' D2 L D L' B' D2 B D L' D2 B' L,L' B D2 L D' B' D2 B L D' L' D2 L
16,4,True,16,2.851,1.0000,B' D' B' L2 D' L2 B D2 L B L2 D' B D L2 B,B' L2 D' B' D L2 B' L' D2 B' L2 D L2 B D B
16,5,True,16,3.134,1.0000,L2 D' B L B2 D L B2 L2 D L' D B2 L' D2 B,B' D2 L B2 D' L D' L2 B2 L' D' B2 L' B' D L2
16,6,True,16,13.938,1.0000,L B' L2 B2 L' D2 B D B L D' B' D B' D2 B,B' D2 B D' B D L' B' D' B' D2 L B2 L2 B L'
16,7,True,16,3.103,1.0000,L' D2 L D2 B D2 L2 D B' L B' D2 B' D' L' B,B' L D B D2 B L' B D' L2 D2 B' D2 L' D2 L
